	wavelength	i
	 3000.00	-0.0001
	 3010.00	-0.0001
	 3020.00	-0.0001
	 3030.00	-0.0001
	 3040.00	-0.0001
	 3050.00	-0.0001
	 3060.00	-0.0001
	 3070.00	-0.0001
	 3080.00	-0.0001
	 3090.00	-0.0001
	 3100.00	-0.0001
	 3110.00	-0.0001
	 3120.00	-0.0001
	 3130.00	-0.0001
	 3140.00	-0.0001
	 3150.00	-0.0001
	 3160.00	-0.0001
	 3170.00	-0.0001
	 3180.00	 0.0000
	 3190.00	-0.0001
	 3200.00	-0.0001
	 3210.00	 0.0000
	 3220.00	-0.0001
	 3230.00	-0.0001
	 3240.00	 0.0000
	 3250.00	-0.0001
	 3260.00	-0.0001
	 3270.00	-0.0001
	 3280.00	-0.0001
	 3290.00	-0.0001
	 3300.00	-0.0001
	 3310.00	-0.0001
	 3320.00	-0.0001
	 3330.00	-0.0001
	 3340.00	-0.0001
	 3350.00	-0.0001
	 3360.00	-0.0001
	 3370.00	 0.0000
	 3380.00	-0.0001
	 3390.00	-0.0001
	 3400.00	 0.0000
	 3410.00	 0.0000
	 3420.00	-0.0001
	 3430.00	-0.0001
	 3440.00	-0.0001
	 3450.00	-0.0001
	 3460.00	-0.0001
	 3470.00	-0.0001
	 3480.00	-0.0001
	 3490.00	 0.0000
	 3500.00	-0.0001
	 3510.00	 0.0000
	 3520.00	-0.0001
	 3530.00	-0.0001
	 3540.00	 0.0000
	 3550.00	 0.0000
	 3560.00	-0.0001
	 3570.00	-0.0001
	 3580.00	 0.0000
	 3590.00	-0.0001
	 3600.00	-0.0001
	 3610.00	-0.0001
	 3620.00	 0.0000
	 3630.00	-0.0001
	 3640.00	-0.0001
	 3650.00	-0.0001
	 3660.00	-0.0001
	 3670.00	 0.0000
	 3680.00	-0.0001
	 3690.00	 0.0000
	 3700.00	-0.0001
	 3710.00	 0.0000
	 3720.00	 0.0000
	 3730.00	 0.0000
	 3740.00	 0.0000
	 3750.00	 0.0000
	 3760.00	 0.0000
	 3770.00	-0.0001
	 3780.00	-0.0002
	 3790.00	-0.0001
	 3800.00	-0.0001
	 3810.00	-0.0001
	 3820.00	-0.0001
	 3830.00	-0.0001
	 3840.00	 0.0000
	 3850.00	-0.0001
	 3860.00	-0.0001
	 3870.00	-0.0001
	 3880.00	-0.0001
	 3890.00	 0.0000
	 3900.00	-0.0001
	 3910.00	-0.0001
	 3920.00	-0.0001
	 3930.00	-0.0001
	 3940.00	 0.0000
	 3950.00	-0.0001
	 3960.00	-0.0001
	 3970.00	-0.0001
	 3980.00	 0.0000
	 3990.00	 0.0000
	 4000.00	-0.0001
	 4010.00	-0.0001
	 4020.00	-0.0001
	 4030.00	-0.0001
	 4040.00	-0.0001
	 4050.00	-0.0001
	 4060.00	 0.0000
	 4070.00	-0.0001
	 4080.00	-0.0001
	 4090.00	-0.0001
	 4100.00	 0.0000
	 4110.00	-0.0001
	 4120.00	-0.0001
	 4130.00	-0.0001
	 4140.00	-0.0001
	 4150.00	 0.0000
	 4160.00	-0.0001
	 4170.00	-0.0001
	 4180.00	-0.0001
	 4190.00	 0.0000
	 4200.00	-0.0001
	 4210.00	-0.0001
	 4220.00	-0.0001
	 4230.00	 0.0000
	 4240.00	-0.0001
	 4250.00	-0.0001
	 4260.00	-0.0001
	 4270.00	 0.0000
	 4280.00	-0.0001
	 4290.00	-0.0001
	 4300.00	-0.0001
	 4310.00	-0.0001
	 4320.00	 0.0000
	 4330.00	-0.0001
	 4340.00	-0.0001
	 4350.00	-0.0001
	 4360.00	-0.0001
	 4370.00	 0.0000
	 4380.00	-0.0001
	 4390.00	-0.0001
	 4400.00	-0.0001
	 4410.00	-0.0001
	 4420.00	-0.0001
	 4430.00	-0.0001
	 4440.00	-0.0001
	 4450.00	-0.0001
	 4460.00	-0.0001
	 4470.00	-0.0001
	 4480.00	-0.0001
	 4490.00	-0.0001
	 4500.00	-0.0001
	 4510.00	-0.0001
	 4520.00	-0.0001
	 4530.00	-0.0001
	 4540.00	-0.0001
	 4550.00	-0.0001
	 4560.00	-0.0001
	 4570.00	 0.0000
	 4580.00	 0.0000
	 4590.00	-0.0001
	 4600.00	 0.0000
	 4610.00	-0.0001
	 4620.00	-0.0001
	 4630.00	-0.0001
	 4640.00	-0.0001
	 4650.00	-0.0001
	 4660.00	-0.0001
	 4670.00	 0.0000
	 4680.00	 0.0000
	 4690.00	-0.0001
	 4700.00	-0.0001
	 4710.00	-0.0001
	 4720.00	-0.0001
	 4730.00	-0.0001
	 4740.00	-0.0001
	 4750.00	-0.0001
	 4760.00	-0.0001
	 4770.00	-0.0001
	 4780.00	-0.0001
	 4790.00	-0.0001
	 4800.00	-0.0001
	 4810.00	-0.0001
	 4820.00	-0.0001
	 4830.00	-0.0001
	 4840.00	-0.0001
	 4850.00	-0.0001
	 4860.00	-0.0001
	 4870.00	-0.0001
	 4880.00	-0.0001
	 4890.00	-0.0001
	 4900.00	-0.0001
	 4910.00	 0.0000
	 4920.00	 0.0000
	 4930.00	-0.0001
	 4940.00	-0.0001
	 4950.00	-0.0001
	 4960.00	-0.0001
	 4970.00	-0.0001
	 4980.00	-0.0001
	 4990.00	 0.0000
	 5000.00	-0.0001
	 5010.00	-0.0001
	 5020.00	-0.0001
	 5030.00	 0.0000
	 5040.00	-0.0001
	 5050.00	-0.0001
	 5060.00	-0.0001
	 5070.00	-0.0001
	 5080.00	-0.0001
	 5090.00	-0.0001
	 5100.00	-0.0001
	 5110.00	-0.0001
	 5120.00	-0.0001
	 5130.00	 0.0000
	 5140.00	-0.0001
	 5150.00	-0.0001
	 5160.00	-0.0001
	 5170.00	-0.0001
	 5180.00	-0.0001
	 5190.00	-0.0001
	 5200.00	-0.0001
	 5210.00	-0.0001
	 5220.00	-0.0001
	 5230.00	 0.0000
	 5240.00	-0.0001
	 5250.00	-0.0001
	 5260.00	-0.0001
	 5270.00	-0.0001
	 5280.00	-0.0001
	 5290.00	-0.0001
	 5300.00	-0.0001
	 5310.00	-0.0001
	 5320.00	-0.0001
	 5330.00	-0.0001
	 5340.00	-0.0001
	 5350.00	-0.0001
	 5360.00	-0.0001
	 5370.00	-0.0001
	 5380.00	-0.0001
	 5390.00	 0.0000
	 5400.00	-0.0001
	 5410.00	-0.0001
	 5420.00	 0.0000
	 5430.00	 0.0000
	 5440.00	-0.0001
	 5450.00	-0.0001
	 5460.00	-0.0001
	 5470.00	 0.0000
	 5480.00	-0.0001
	 5490.00	-0.0001
	 5500.00	-0.0001
	 5510.00	-0.0001
	 5520.00	-0.0001
	 5530.00	-0.0001
	 5540.00	-0.0001
	 5550.00	-0.0001
	 5560.00	-0.0001
	 5570.00	-0.0001
	 5580.00	 0.0000
	 5590.00	-0.0001
	 5600.00	-0.0001
	 5610.00	-0.0001
	 5620.00	-0.0001
	 5630.00	-0.0001
	 5640.00	-0.0001
	 5650.00	-0.0001
	 5660.00	-0.0001
	 5670.00	-0.0001
	 5680.00	-0.0001
	 5690.00	-0.0001
	 5700.00	-0.0001
	 5710.00	-0.0001
	 5720.00	-0.0001
	 5730.00	-0.0001
	 5740.00	-0.0001
	 5750.00	-0.0001
	 5760.00	-0.0001
	 5770.00	-0.0001
	 5780.00	-0.0001
	 5790.00	-0.0001
	 5800.00	-0.0001
	 5810.00	-0.0001
	 5820.00	-0.0001
	 5830.00	-0.0001
	 5840.00	-0.0001
	 5850.00	-0.0001
	 5860.00	-0.0001
	 5870.00	-0.0001
	 5880.00	-0.0001
	 5890.00	-0.0001
	 5900.00	-0.0001
	 5910.00	-0.0001
	 5920.00	-0.0001
	 5930.00	-0.0001
	 5940.00	 0.0000
	 5950.00	 0.0000
	 5960.00	-0.0001
	 5970.00	 0.0000
	 5980.00	-0.0001
	 5990.00	-0.0001
	 6000.00	-0.0001
	 6010.00	-0.0001
	 6020.00	-0.0001
	 6030.00	 0.0000
	 6040.00	-0.0001
	 6050.00	-0.0001
	 6060.00	-0.0001
	 6070.00	-0.0001
	 6080.00	-0.0001
	 6090.00	-0.0001
	 6100.00	-0.0001
	 6110.00	-0.0001
	 6120.00	-0.0001
	 6130.00	 0.0000
	 6140.00	 0.0000
	 6150.00	-0.0001
	 6160.00	-0.0001
	 6170.00	-0.0001
	 6180.00	-0.0001
	 6190.00	-0.0001
	 6200.00	-0.0001
	 6210.00	 0.0000
	 6220.00	-0.0001
	 6230.00	-0.0001
	 6240.00	-0.0001
	 6250.00	 0.0000
	 6260.00	 0.0000
	 6270.00	-0.0001
	 6280.00	-0.0001
	 6290.00	 0.0000
	 6300.00	 0.0000
	 6310.00	-0.0001
	 6320.00	-0.0001
	 6330.00	-0.0001
	 6340.00	-0.0001
	 6350.00	-0.0001
	 6360.00	-0.0001
	 6370.00	-0.0001
	 6380.00	 0.0000
	 6390.00	-0.0001
	 6400.00	-0.0001
	 6410.00	-0.0001
	 6420.00	 0.0000
	 6430.00	-0.0001
	 6440.00	-0.0001
	 6450.00	-0.0001
	 6460.00	-0.0001
	 6470.00	-0.0001
	 6480.00	-0.0001
	 6490.00	-0.0001
	 6500.00	-0.0001
	 6510.00	 0.0000
	 6520.00	 0.0000
	 6530.00	 0.0000
	 6540.00	-0.0001
	 6550.00	-0.0001
	 6560.00	-0.0001
