mass(M_sun),luminosity(log L/L_sun),radius(log R/R_sun),T_center(log T),age(yrs),density(g/cm^3),pressure(log P/ergs/cm^3),X,Y,tau_dyn(years),tau_kh(years)
3.16227770E-01,-1.82924698E+00,-5.00471527E-01,6.87245996E+00,0.00000000E+00,1.91979856E+00,1.69295336E+01,6.98490994E-01,2.81392784E-01,7.09675524E+02,1.68849481E+08
3.35209610E-01,-1.78422166E+00,-4.83073846E-01,6.88135439E+00,0.00000000E+00,1.89307107E+00,1.69104773E+01,6.98490993E-01,2.81392784E-01,7.31978158E+02,1.64327267E+08
3.55330850E-01,-1.73984415E+00,-4.65717175E-01,6.89015609E+00,0.00000000E+00,1.86644536E+00,1.68915584E+01,6.98490991E-01,2.81392784E-01,7.54874753E+02,1.60180026E+08
3.76659880E-01,-1.69506860E+00,-4.48255105E-01,6.89485626E+00,0.00000000E+00,1.85229906E+00,1.68815754E+01,6.98490984E-01,2.81392784E-01,7.78771019E+02,1.55956559E+08
3.99269210E-01,-1.64701807E+00,-4.29725032E-01,6.89910893E+00,0.00000000E+00,1.84892096E+00,1.68822321E+01,6.98490975E-01,2.81392784E-01,8.06392839E+02,1.50333564E+08
4.23235690E-01,-1.59508721E+00,-4.09776553E-01,6.90487938E+00,0.00000000E+00,1.84807302E+00,1.68869628E+01,6.98490963E-01,2.81392784E-01,8.39095032E+02,1.43155993E+08
4.48640770E-01,-1.53882901E+00,-3.88251423E-01,6.91192295E+00,0.00000000E+00,1.84867017E+00,1.68944165E+01,6.98490946E-01,2.81392784E-01,8.77891043E+02,1.34480438E+08
4.75570810E-01,-1.47775634E+00,-3.65023408E-01,6.92013572E+00,0.00000000E+00,1.85025139E+00,1.69040205E+01,6.98490921E-01,2.81392784E-01,9.23898824E+02,1.24448978E+08
5.04117350E-01,-1.41125832E+00,-3.39984797E-01,6.92949358E+00,0.00000000E+00,1.85259150E+00,1.69155214E+01,6.98490883E-01,2.81392784E-01,9.78417253E+02,1.13262884E+08
5.34377420E-01,-1.33861951E+00,-3.13137152E-01,6.94003247E+00,0.00000000E+00,1.85555703E+00,1.69288192E+01,6.98490819E-01,2.81392784E-01,1.04264711E+03,1.01212479E+08
5.66453880E-01,-1.25917275E+00,-2.84792288E-01,6.95179331E+00,0.00000000E+00,1.85909297E+00,1.69438992E+01,6.98490708E-01,2.81392784E-01,1.11685402E+03,8.87309952E+07
6.00455760E-01,-1.17161920E+00,-2.55746615E-01,6.96496498E+00,0.00000000E+00,1.86321132E+00,1.69609599E+01,6.98490502E-01,2.81392784E-01,1.19924161E+03,7.62270393E+07
6.36498620E-01,-1.07536671E+00,-2.27428654E-01,6.97964925E+00,0.00000000E+00,1.86786607E+00,1.69800565E+01,6.98490093E-01,2.81392784E-01,1.28447426E+03,6.42941564E+07
