	Lagrangian mass coordinate (Msun)	Radius coordinate (Rsun)	Luminosity (Lsun)	Total pressure (N m-2)	Density (kg m-3)	Temperature (K)	Specific internal energy (J kg-1)	Specific entropy (J K-1 kg-1)	Specific heat at constant pressure (J K-1 kg-1)	First adiabatic exponent	Adiabatic temperature gradient	Mean molecular weight (see note below)	Electron number density (m-3)	Electron pressure (N m-2)	Radiation pressure (N m-2)	Radiative temperature gradient	Material temperature gradient	Convective velocity (m s-1)	Rosseland mean opacity (m2 kg-1)	Power per unit mass from all nuclear reactions, excluding neutrino losses (W kg-1)	Power per unit mass from PP chain (W kg-1)	Power per unit mass from CNO cycle (W kg-1)	Power per unit mass from triple-alpha reaction (W kg-1)	Power loss per unit mass in nuclear neutrinos (W kg-1)	Power loss per unit mass in non-nuclear neutrinos (W kg-1)	Power per unit mass from gravitational contraction (W kg-1)	Hydrogen mass fraction (all ionization stages)	Molecular hydrogen mass fraction	Singly-ionized hydrogen mass fraction	Helium mass fraction (all ionization stages)	Singly-ionized helium mass fraction	Doubly-ionized helium mass fraction	Carbon mass fraction	Nitrogren mass fraction	Oxygen mass fraction	Electron degeneracy parameter
	5.00000000E+00	2.71727379E+00	5.32552044E+02	2.34916650E+03	1.01196439E-09	1.68350074E+04	1.54935978E+13	3.21230698E+09	1.07963280E+09	1.27278919E+00	2.02344828E-01	6.57613853E-01	4.60060528E+14	1.06335518E+03	2.02578470E+02	1.28799512E-01	1.28799512E-01	0.00000000E+00	5.42527163E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	9.78971950E-15	6.97783165E-01	2.80000912E-01	1.88505773E-01	1.12923967E-10	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.69536755E+01
	5.00000000E+00	2.71652243E+00	5.32552044E+02	3.53280588E+03	1.44323448E-09	1.78919314E+04	1.58813676E+13	3.18591864E+09	8.52266114E+08	1.33691439E+00	2.33388104E-01	6.53387865E-01	6.64673269E+14	1.63273426E+03	2.58445479E+02	1.67840322E-01	1.67840322E-01	0.00000000E+00	5.99754133E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	6.75006852E-15	6.97954483E-01	2.80000912E-01	2.27161573E-01	9.46028027E-10	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.66770724E+01
	5.00000000E+00	2.71578392E+00	5.32552044E+02	5.15446385E+03	1.97046488E-09	1.91753393E+04	1.62923557E+13	3.16559749E+09	6.65205642E+08	1.43038947E+00	2.77856969E-01	6.50322626E-01	9.16046373E+14	2.41162948E+03	3.40966937E+02	1.94977991E-01	1.94977991E-01	0.00000000E+00	6.30002313E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	3.62638102E-15	6.98121634E-01	2.80000912E-01	2.55348175E-01	9.08395528E-09	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.64602142E+01
	5.00000000E+00	2.71502364E+00	5.32552044E+02	7.40773003E+03	2.63169830E-09	2.06712115E+04	1.66821438E+13	3.14575578E+09	5.61599361E+08	1.51366697E+00	3.14559041E-01	6.48710356E-01	1.22950299E+15	3.48935848E+03	4.60472574E+02	2.14257305E-01	2.14257305E-01	0.00000000E+00	6.50552039E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	1.74986833E-15	6.98246782E-01	2.80000912E-01	2.70134280E-01	8.68203489E-08	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.62785918E+01
	5.00000000E+00	2.71421905E+00	5.32552044E+02	1.05733303E+04	3.47305681E-09	2.23863723E+04	1.70770431E+13	3.12636948E+09	5.15825592E+08	1.56157790E+00	3.34608775E-01	6.47985688E-01	1.62618289E+15	4.99807974E+03	6.33395439E+02	2.28219530E-01	2.28219530E-01	0.00000000E+00	6.67795858E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	8.16150513E-16	6.98331280E-01	2.80000912E-01	2.76690659E-01	7.86654380E-07	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.61185324E+01
	5.00000000E+00	2.71335296E+00	5.32552044E+02	1.50555535E+04	4.55088733E-09	2.43433056E+04	1.75077525E+13	3.10807431E+09	4.97748288E+08	1.58237648E+00	3.43193508E-01	6.47675637E-01	2.13287814E+15	7.12845917E+03	8.85642091E+02	2.40239349E-01	2.40239349E-01	0.00000000E+00	6.90292966E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	3.81354104E-16	6.98386155E-01	2.80000912E-01	2.79414559E-01	6.62860351E-06	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.59730030E+01
	5.00000000E+00	2.71240929E+00	5.32552044E+02	2.14418360E+04	5.93627134E-09	2.65768008E+04	1.79966917E+13	3.09117452E+09	4.92429032E+08	1.58911211E+00	3.45973859E-01	6.47538107E-01	2.78334256E+15	1.01559238E+04	1.25820338E+03	2.50264416E-01	2.50264416E-01	0.00000000E+00	7.17324662E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	1.81675111E-16	6.98421424E-01	2.80000912E-01	2.80495584E-01	5.14299999E-05	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.58384961E+01
	5.00000000E+00	2.71137171E+00	5.32552044E+02	3.05896963E+04	7.71810841E-09	2.91352751E+04	1.85657925E+13	3.07592699E+09	4.96440884E+08	1.58500123E+00	3.44391803E-01	6.47446139E-01	3.61981300E+15	1.44795590E+04	1.81725778E+03	2.60894616E-01	2.60894616E-01	0.00000000E+00	7.57066920E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	8.88553117E-17	6.98444187E-01	2.80000912E-01	2.80653449E-01	3.65699701E-04	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.57135936E+01
	5.00000000E+00	2.71022776E+00	5.32552044E+02	4.36751787E+04	9.97721475E-09	3.21016920E+04	1.92640916E+13	3.06377364E+09	5.22174442E+08	1.55374810E+00	3.32209868E-01	6.47204620E-01	4.68280288E+15	2.06387731E+04	2.67825384E+03	2.77437089E-01	2.77437089E-01	0.00000000E+00	8.31015928E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	4.39299924E-17	6.98459247E-01	2.80000912E-01	2.78819390E-01	2.40535993E-03	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.56015587E+01
	5.00000000E+00	2.70896679E+00	5.32552044E+02	6.22188136E+04	1.27333201E-08	3.56132038E+04	2.02618152E+13	3.05984610E+09	6.30482326E+08	1.44992922E+00	2.88655156E-01	6.45917233E-01	5.99999491E+15	2.93367503E+04	4.05680584E+03	3.03236097E-01	3.03236097E-01	3.97289144E+02	9.65764367E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	2.12175088E-17	6.98469548E-01	2.80000912E-01	2.66731549E-01	1.45878278E-02	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.55094096E+01
