Mass [Msun],Luminosity [Lsun],Teff [K]
0.5,0.03879195613338203,3791.991105627147
0.629698466,0.08406849834556146,4041.6820913490633
0.793040316,0.24009774268975376,4780.73707975914
0.99875254,0.7003967384028317,5615.572130348234
1.0,0.7003967384028317,5615.572130348234
1.25782589,2.1476868400181695,6318.071261464423
1.58410206,6.240317821345634,7522.3659972801115
1.99501327,16.167466882142076,9154.352679689204
2.5125136,40.13367967038322,10827.859953208186
3.16425191,97.14649140373554,12632.936408503117
3.98504915,230.08724287713284,14624.9065595984
5.01875867,532.5520490280715,16835.007337096107
6.32060928,1201.0044871460068,19273.232922158728
7.96015593,2630.7840491458614,21930.125649923088
10.024996,5576.758013390127,24773.78932176892
12.6254491,11408.830555063529,27757.572319634604
15.9004519,22454.466963522336,30817.88995178863
20.0249804,42419.459448708956,33882.100787662246
25.2193988,76869.24933560895,36874.52290718608
40.0,223653.36665787903,42334.44884151156
