x y
0.01 -0.095115585
0.02 -0.055414668
0.03  0.097941183
0.04 -0.074766765
0.05  0.038402129
0.06 -0.434194115
0.07 -0.212602635
0.08 -0.341563521
0.09 -0.466058171
0.10 -0.305601445
0.11 -0.585033899
0.12 -0.395114048
0.13 -0.259369872
0.14 -0.541031506
0.15 -0.497907669
0.16 -0.384445006
0.17 -0.343292281
0.18 -0.357539778
0.19 -0.677392782
0.20 -0.646095368
0.21 -0.421976991
0.22 -0.712665060
0.23 -0.401646085
0.24 -0.654996564
0.25 -0.365956761
0.26 -0.653460720
0.27 -0.170311520
0.28 -0.403968325
0.29 -0.419314005
0.30 -0.143894260
0.31 -0.333313701
0.32 -0.365728811
0.33 -0.566935841
0.34 -0.302084480
0.35 -0.427508173
0.36  0.104488691
0.37 -0.221408054
0.38  0.015815533
0.39  0.004597977
0.40 -0.100843813
0.41  0.107613837
0.42  0.036338805
0.43  0.082934313
0.44  0.340437143
0.45 -0.150617133
0.46  0.166037516
0.47  0.186131965
0.48  0.341347818
0.49  0.253436755
0.50  0.353483974
0.51  0.482010152
0.52  0.478742274
0.53  0.631973357
0.54  0.481250490
0.55  0.552313616
0.56  0.456814516
0.57  0.518069643
0.58  0.532627746
0.59  0.868937192
0.60  0.641512878
0.61  0.777128339
0.62  0.704099404
0.63  0.643882942
0.64  0.821180243
0.65  1.084246214
0.66  0.800701167
0.67  0.859953176
0.68  0.640076357
0.69  0.738084329
0.70  0.980243379
0.71  0.903393179
0.72  0.891720011
0.73  0.751576863
0.74  0.980834952
0.75  0.852875131
0.76  0.887900852
0.77  0.843182033
0.78  0.896387754
0.79  0.919014060
0.80  0.939445603
0.81  0.902287417
0.82  0.655197087
0.83  0.880686494
0.84  0.553211730
0.85  0.412864634
0.86  0.440865401
0.87  0.526818615
0.88  0.789316643
0.89  0.520225072
0.90  0.350853050
0.91  0.637960583
0.92  0.479909578
0.93  0.307321757
0.94  0.460204141
0.95  0.292315666
0.96  0.296922445
0.97  0.508274493
0.98  0.246585596
0.99  0.303378889
1.00  0.140323414
